iter	Passed	Remaining
840	14702	10506
841	14720	10489
842	14739	10473
843	14756	10455
844	14773	10437
845	14790	10420
846	14808	10402
847	14824	10384
848	14843	10367
849	14861	10350
850	14879	10333
851	14894	10314
852	14908	10294
853	14925	10276
854	14941	10258
855	14959	10240
856	14975	10222
857	14993	10205
858	15009	10186
859	15026	10169
860	15043	10151
861	15056	10131
862	15074	10114
863	15093	10097
864	15110	10079
865	15128	10062
866	15146	10045
867	15162	10027
868	15180	10009
869	15196	9991
870	15213	9973
871	15231	9956
872	15249	9939
873	15266	9921
874	15283	9903
875	15299	9885
876	15319	9869
877	15341	9854
878	15359	9837
879	15376	9819
880	15410	9813
881	15431	9797
882	15449	9780
883	15465	9762
884	15481	9743
885	15496	9724
886	15513	9706
887	15530	9689
888	15544	9669
889	15561	9651
890	15579	9634
891	15595	9616
892	15613	9598
893	15632	9582
894	15650	9564
895	15666	9546
896	15685	9530
897	15702	9512
898	15719	9494
899	15736	9477
900	15756	9460
901	15774	9443
902	15791	9425
903	15809	9409
904	15824	9389
905	15840	9371
906	15856	9352
907	15871	9334
908	15889	9316
909	15905	9298
910	15920	9279
911	15937	9261
912	15953	9243
913	15970	9225
914	15988	9208
915	16003	9189
916	16021	9172
917	16038	9154
918	16055	9137
919	16072	9119
920	16091	9102
921	16110	9086
922	16128	9068
923	16145	9051
924	16163	9034
925	16181	9016
926	16198	8999
927	16216	8982
928	16231	8962
929	16248	8945
930	16266	8928
931	16279	8908
932	16298	8891
933	16313	8873
934	16329	8854
935	16347	8837
936	16362	8818
937	16377	8799
938	16394	8782
939	16416	8766
940	16431	8748
941	16450	8731
942	16468	8714
943	16484	8696
944	16501	8678
945	16519	8661
946	16537	8644
947	16553	8626
948	16570	8608
949	16588	8591
950	16605	8573
951	16622	8555
952	16638	8537
953	16654	8519
954	16677	8504
955	16695	8487
956	16714	8470
957	16732	8453
958	16749	8435
959	16768	8418
960	16785	8401
961	16803	8384
962	16823	8368
963	16842	8351
964	16860	8334
965	16876	8316
966	16893	8298
967	16910	8280
968	16928	8263
969	16945	8245
970	16962	8228
971	16980	8210
972	16997	8193
973	17012	8174
974	17032	8158
975	17053	8142
976	17071	8125
977	17090	8108
978	17107	8090
979	17125	8073
980	17142	8055
981	17159	8038
982	17175	8019
983	17191	8001
984	17209	7984
985	17227	7967
986	17243	7949
987	17260	7931
988	17274	7912
989	17291	7894
990	17305	7875
991	17323	7858
992	17341	7841
993	17359	7823
994	17374	7805
995	17392	7788
996	17408	7770
997	17426	7753
998	17446	7736
999	17464	7719
1000	17481	7701
1001	17497	7683
1002	17514	7665
1003	17530	7647
1004	17548	7630
1005	17565	7612
1006	17583	7595
1007	17601	7578
1008	17617	7560
1009	17633	7542
1010	17650	7524
1011	17666	7506
1012	17683	7488
1013	17699	7470
1014	17715	7452
1015	17731	7434
1016	17748	7416
1017	17764	7399
1018	17781	7381
1019	17797	7363
1020	17814	7345
1021	17831	7328
1022	17847	7309
1023	17867	7293
1024	17885	7276
1025	17903	7259
1026	17921	7241
1027	17939	7224
1028	17956	7207
1029	17973	7189
1030	17991	7172
1031	18008	7154
1032	18025	7136
1033	18041	7118
1034	18057	7101
1035	18072	7082
1036	18089	7064
1037	18108	7047
1038	18127	7031
1039	18145	7014
1040	18164	6996
1041	18182	6979
1042	18199	6962
1043	18216	6944
1044	18233	6927
1045	18250	6909
1046	18269	6892
1047	18286	6874
1048	18303	6857
1049	18319	6839
1050	18336	6821
1051	18353	6804
1052	18373	6787
1053	18386	6768
1054	18403	6750
1055	18418	6732
1056	18436	6715
1057	18455	6698
1058	18473	6681
1059	18491	6664
1060	18509	6646
1061	18557	6640
1062	18575	6623
1063	18592	6605
1064	18610	6587
1065	18627	6570
1066	18645	6552
1067	18663	6535
1068	18679	6517
1069	18698	6500
1070	18714	6482
1071	18731	6465
1072	18748	6447
1073	18767	6430
1074	18783	6412
1075	18802	6395
1076	18820	6378
1077	18836	6360
1078	18854	6343
1079	18870	6325
1080	18886	6307
1081	18903	6289
1082	18919	6271
1083	18936	6254
1084	18955	6236
1085	18972	6219
1086	18988	6201
1087	19004	6183
1088	19023	6166
1089	19040	6148
1090	19057	6131
1091	19071	6112
1092	19089	6095
1093	19106	6077
1094	19123	6060
1095	19142	6043
1096	19160	6025
1097	19179	6008
1098	19196	5991
1099	19213	5973
1100	19229	5955
1101	19246	5938
1102	19265	5921
1103	19282	5903
1104	19299	5885
1105	19317	5868
1106	19340	5852
1107	19359	5835
1108	19377	5818
1109	19395	5801
1110	19412	5783
1111	19430	5766
1112	19446	5748
1113	19461	5730
1114	19479	5712
1115	19496	5695
1116	19513	5677
1117	19530	5659
1118	19545	5641
1119	19562	5624
1120	19578	5606
1121	19595	5588
1122	19612	5571
1123	19627	5552
1124	19643	5535
1125	19663	5518
1126	19682	5501
1127	19701	5484
1128	19717	5466
1129	19734	5448
1130	19751	5431
1131	19771	5414
1132	19789	5397
1133	19806	5379
1134	19822	5361
1135	19836	5343
1136	19853	5325
1137	19870	5308
1138	19886	5290
1139	19903	5272
1140	19921	5255
1141	19941	5238
1142	19962	5222
1143	19980	5204
1144	19997	5187
1145	20013	5169
1146	20031	5151
1147	20049	5134
1148	20066	5116
1149	20082	5099
1150	20100	5081
1151	20117	5064
1152	20132	5046
1153	20149	5028
1154	20166	5010
1155	20183	4993
1156	20198	4975
1157	20216	4958
1158	20233	4940
1159	20250	4923
1160	20270	4906
1161	20288	4888
1162	20305	4871
1163	20323	4853
1164	20340	4836
1165	20357	4818
1166	20374	4801
1167	20392	4783
1168	20409	4766
1169	20426	4748
1170	20442	4730
1171	20461	4713
1172	20476	4695
1173	20490	4677
1174	20506	4659
1175	20523	4642
1176	20539	4624
1177	20555	4606
1178	20572	4589
1179	20589	4571
1180	20606	4553
1181	20622	4536
1182	20637	4518
1183	20654	4500
1184	20678	4484
1185	20696	4467
1186	20713	4449
1187	20730	4432
1188	20747	4414
1189	20765	4397
1190	20782	4379
1191	20799	4362
1192	20818	4345
1193	20835	4327
1194	20850	4309
1195	20865	4291
1196	20882	4274
1197	20900	4256
1198	20916	4239
1199	20935	4221
1200	20949	4203
1201	20967	4186
1202	20985	4169
1203	21005	4152
1204	21026	4135
1205	21046	4118
1206	21070	4102
1207	21089	4085
1208	21107	4067
1209	21125	4050
1210	21143	4033
1211	21159	4015
1212	21177	3998
1213	21193	3980
1214	21210	3962
1215	21227	3945
1216	21245	3927
1217	21258	3909
1218	21274	3891
1219	21290	3874
1220	21307	3856
1221	21322	3838
1222	21339	3821
1223	21356	3803
1224	21373	3786
1225	21393	3769
1226	21411	3751
1227	21430	3734
1228	21447	3717
1229	21464	3699
1230	21482	3682
1231	21499	3664
1232	21517	3647
1233	21536	3630
1234	21553	3612
1235	21575	3595
1236	21594	3578
1237	21611	3561
1238	21629	3543
1239	21647	3526
1240	21665	3509
1241	21681	3491
1242	21700	3474
1243	21716	3456
1244	21733	3438
1245	21748	3421
1246	21765	3403
1247	21781	3385
1248	21798	3368
1249	21815	3350
1250	21829	3332
1251	21847	3315
1252	21865	3298
1253	21881	3280
1254	21897	3262
1255	21913	3245
1256	21928	3227
1257	21946	3209
1258	21962	3192
1259	21979	3174
1260	21998	3157
1261	22017	3140
1262	22033	3122
1263	22050	3105
1264	22067	3087
1265	22084	3070
1266	22103	3052
1267	22120	3035
1268	22138	3018
1269	22156	3000
1270	22174	2983
1271	22190	2965
1272	22209	2948
1273	22227	2931
1274	22246	2913
1275	22264	2896
1276	22283	2879
1277	22299	2861
1278	22317	2844
1279	22334	2826
1280	22350	2809
1281	22366	2791
1282	22384	2774
1283	22402	2756
1284	22421	2739
1285	22439	2722
1286	22458	2704
1287	22475	2687
1288	22492	2669
1289	22512	2652
1290	22530	2635
1291	22545	2617
1292	22562	2599
1293	22578	2582
1294	22594	2564
1295	22612	2547
1296	22628	2529
1297	22643	2512
1298	22658	2494
1299	22676	2476
1300	22695	2459
1301	22714	2442
1302	22733	2425
1303	22749	2407
1304	22766	2390
1305	22784	2372
1306	22800	2355
1307	22818	2337
1308	22835	2320
1309	22852	2302
1310	22869	2285
1311	22917	2270
1312	22935	2253
1313	22952	2235
1314	22969	2218
1315	22985	2200
1316	23003	2183
1317	23023	2166
1318	23042	2148
1319	23060	2131
1320	23077	2113
1321	23095	2096
1322	23113	2079
1323	23130	2061
1324	23148	2044
1325	23165	2026
1326	23181	2008
1327	23202	1991
1328	23220	1974
1329	23239	1956
1330	23257	1939
1331	23275	1922
1332	23292	1904
1333	23309	1887
1334	23327	1869
1335	23352	1852
1336	23372	1835
1337	23388	1817
1338	23406	1800
1339	23423	1783
1340	23441	1765
1341	23460	1748
1342	23479	1730
1343	23496	1713
1344	23515	1695
1345	23533	1678
1346	23549	1660
1347	23568	1643
1348	23588	1626
1349	23606	1608
1350	23623	1591
1351	23641	1573
1352	23657	1556
1353	23674	1538
1354	23692	1521
1355	23709	1503
1356	23728	1486
1357	23747	1468
1358	23765	1451
1359	23783	1433
1360	23800	1416
1361	23817	1399
1362	23837	1381
1363	23850	1363
1364	23867	1346
1365	23884	1328
1366	23906	1311
1367	23925	1294
1368	23942	1276
1369	23960	1259
1370	23977	1241
1371	23995	1224
1372	24012	1206
1373	24030	1189
1374	24046	1171
1375	24063	1154
1376	24080	1136
1377	24099	1119
1378	24117	1101
1379	24135	1084
1380	24151	1066
1381	24171	1049
1382	24188	1031
1383	24206	1014
1384	24224	996
1385	24241	979
1386	24258	961
1387	24274	944
1388	24291	926
1389	24308	909
1390	24324	891
1391	24340	874
1392	24354	856
1393	24372	839
1394	24387	821
1395	24404	804
1396	24421	786
1397	24439	769
